x,y,z,grades,litho,alter
1,1,1,4.821168529691209,3.0,4.0
1,1,2,5.390856410079733,3.0,5.0
1,1,3,4.967490808998975,4.0,5.0
1,1,4,4.793978493188874,4.0,5.0
1,1,5,5.1832949422639985,3.0,4.0
1,1,6,5.4367229299061695,3.0,4.0
1,1,7,5.0967996941510325,3.0,4.0
1,1,8,4.127577426705459,3.0,4.0
1,1,9,2.873080251851745,3.0,5.0
1,1,10,2.3789936450218896,4.0,5.0
1,1,11,3.409925677279486,4.0,5.0
1,1,12,5.179641176001191,4.0,5.0
1,1,13,6.324845356776583,4.0,5.0
1,1,14,6.4621444353317035,4.0,4.0
1,1,15,5.924505819234002,4.0,3.0
1,1,16,5.043214328281785,3.0,3.0
1,1,17,4.174908070534142,3.0,2.0
1,1,18,3.6656540168016836,2.0,3.0
1,1,19,3.592711116579749,2.0,3.0
1,1,20,3.614434990672354,2.0,4.0
1,2,1,4.133198405546381,2.0,3.0
1,2,2,4.952710163385805,3.0,4.0
1,2,3,4.897524164123779,3.0,5.0
1,2,4,5.099199795249395,4.0,5.0
1,2,5,5.420044763071424,3.0,4.0
1,2,6,5.256883297158341,3.0,4.0
1,2,7,4.666409670851824,3.0,4.0
1,2,8,3.6375618488138737,3.0,5.0
1,2,9,2.39335406370292,3.0,5.0
1,2,10,2.087094046681968,4.0,5.0
1,2,11,3.268989010892354,4.0,5.0
1,2,12,4.810139147197103,4.0,5.0
1,2,13,5.601703280661023,4.0,4.0
1,2,14,5.7891457074850425,4.0,4.0
1,2,15,5.739435228110635,4.0,3.0
1,2,16,5.331277146528546,3.0,2.0
1,2,17,4.667097079556329,3.0,2.0
1,2,18,4.350079771624964,2.0,2.0
1,2,19,4.540046946691511,2.0,3.0
1,2,20,4.486254657480392,1.0,4.0
1,3,1,3.5299526101306067,2.0,3.0
1,3,2,4.356605149093863,3.0,4.0
1,3,3,4.504531541628873,3.0,4.0
1,3,4,4.967923555510271,3.0,4.0
1,3,5,5.316594522823604,3.0,4.0
1,3,6,5.031277166352034,3.0,4.0
1,3,7,4.392438852271,3.0,5.0
1,3,8,3.3127355232506988,3.0,5.0
1,3,9,2.1018034240918193,4.0,5.0
1,3,10,2.0608331327119878,4.0,5.0
1,3,11,3.294676006286522,4.0,5.0
1,3,12,4.335805925008485,4.0,5.0
1,3,13,4.58256226665365,4.0,4.0
1,3,14,4.656783192938814,4.0,4.0
1,3,15,4.784763646306187,3.0,3.0
1,3,16,4.665325042685822,3.0,2.0
1,3,17,4.3992765833282395,2.0,2.0
1,3,18,4.514759827300528,2.0,2.0
1,3,19,4.988791574128462,1.0,3.0
1,3,20,4.92967901347703,1.0,4.0
1,4,1,3.4222021424656814,2.0,2.0
1,4,2,3.989221934276613,2.0,3.0
1,4,3,4.002338821092985,3.0,4.0
1,4,4,4.462866331837403,3.0,4.0
1,4,5,4.9502145514925875,3.0,4.0
1,4,6,4.846600280030784,3.0,4.0
1,4,7,4.235643741325562,3.0,5.0
1,4,8,3.01127969937387,4.0,5.0
1,4,9,1.8300370846763028,4.0,5.0
1,4,10,2.079425726312859,4.0,5.0
1,4,11,3.3358544336960954,4.0,5.0
1,4,12,3.9543807971885285,4.0,5.0
1,4,13,3.822413413495084,4.0,4.0
